clade_name	clade_taxid	ERR1190976.metaphlan4.abundance.profile	ERR1190975.metaphlan4.abundance.profile	ERR1190974.metaphlan4.abundance.profile	ERR1190973.metaphlan4.abundance.profile	ERR1190972.metaphlan4.abundance.profile	ERR1190971.metaphlan4.abundance.profile	ERR1190970.metaphlan4.abundance.profile	ERR1190969.metaphlan4.abundance.profile	ERR1190968.metaphlan4.abundance.profile	ERR1190967.metaphlan4.abundance.profile	ERR1190966.metaphlan4.abundance.profile	ERR1190965.metaphlan4.abundance.profile	ERR1190964.metaphlan4.abundance.profile	ERR1190963.metaphlan4.abundance.profile	ERR1190962.metaphlan4.abundance.profile	ERR1190961.metaphlan4.abundance.profile	ERR1190960.metaphlan4.abundance.profile	ERR1190959.metaphlan4.abundance.profile	ERR1190958.metaphlan4.abundance.profile	ERR1190957.metaphlan4.abundance.profile	ERR1190956.metaphlan4.abundance.profile	ERR1190955.metaphlan4.abundance.profile	ERR1190954.metaphlan4.abundance.profile	ERR1190953.metaphlan4.abundance.profile	ERR1190952.metaphlan4.abundance.profile	ERR1190951.metaphlan4.abundance.profile	ERR1190950.metaphlan4.abundance.profile	ERR1190949.metaphlan4.abundance.profile	ERR1190948.metaphlan4.abundance.profile	ERR1190947.metaphlan4.abundance.profile	ERR1190946.metaphlan4.abundance.profile	ERR1190945.metaphlan4.abundance.profile	ERR1190944.metaphlan4.abundance.profile	ERR1190943.metaphlan4.abundance.profile	ERR1190942.metaphlan4.abundance.profile	ERR1190941.metaphlan4.abundance.profile	ERR1190940.metaphlan4.abundance.profile	ERR1190939.metaphlan4.abundance.profile	ERR1190938.metaphlan4.abundance.profile	ERR1190937.metaphlan4.abundance.profile	ERR1190936.metaphlan4.abundance.profile	ERR1190935.metaphlan4.abundance.profile	ERR1190934.metaphlan4.abundance.profile	ERR1190933.metaphlan4.abundance.profile	ERR1190932.metaphlan4.abundance.profile	ERR1190931.metaphlan4.abundance.profile	ERR1190930.metaphlan4.abundance.profile	ERR1190929.metaphlan4.abundance.profile	ERR1190928.metaphlan4.abundance.profile	ERR1190927.metaphlan4.abundance.profile	ERR1190926.metaphlan4.abundance.profile	ERR1190925.metaphlan4.abundance.profile	ERR1190924.metaphlan4.abundance.profile	ERR1190923.metaphlan4.abundance.profile	ERR1190922.metaphlan4.abundance.profile	ERR1190921.metaphlan4.abundance.profile	ERR1190920.metaphlan4.abundance.profile	ERR1190919.metaphlan4.abundance.profile	ERR1190918.metaphlan4.abundance.profile	ERR1190917.metaphlan4.abundance.profile	ERR1190916.metaphlan4.abundance.profile	ERR1190915.metaphlan4.abundance.profile	ERR1190914.metaphlan4.abundance.profile	ERR1190913.metaphlan4.abundance.profile	ERR1190912.metaphlan4.abundance.profile	ERR1190911.metaphlan4.abundance.profile	ERR1190910.metaphlan4.abundance.profile	ERR1190909.metaphlan4.abundance.profile	ERR1190908.metaphlan4.abundance.profile	ERR1190907.metaphlan4.abundance.profile	ERR1190906.metaphlan4.abundance.profile	ERR1190905.metaphlan4.abundance.profile	ERR1190904.metaphlan4.abundance.profile	ERR1190903.metaphlan4.abundance.profile	ERR1190902.metaphlan4.abundance.profile	ERR1190901.metaphlan4.abundance.profile	ERR1190900.metaphlan4.abundance.profile	ERR1190899.metaphlan4.abundance.profile	ERR1190898.metaphlan4.abundance.profile	ERR1190897.metaphlan4.abundance.profile	ERR1190896.metaphlan4.abundance.profile	ERR1190895.metaphlan4.abundance.profile	ERR1190894.metaphlan4.abundance.profile	ERR1190893.metaphlan4.abundance.profile	ERR1190892.metaphlan4.abundance.profile	ERR1190891.metaphlan4.abundance.profile	ERR1190890.metaphlan4.abundance.profile	ERR1190889.metaphlan4.abundance.profile	ERR1190888.metaphlan4.abundance.profile	ERR1190887.metaphlan4.abundance.profile	ERR1190886.metaphlan4.abundance.profile	ERR1190885.metaphlan4.abundance.profile	ERR1190884.metaphlan4.abundance.profile	ERR1190883.metaphlan4.abundance.profile	ERR1190882.metaphlan4.abundance.profile	ERR1190881.metaphlan4.abundance.profile	ERR1190880.metaphlan4.abundance.profile	ERR1190879.metaphlan4.abundance.profile	ERR1190878.metaphlan4.abundance.profile	ERR1190877.metaphlan4.abundance.profile	ERR1190876.metaphlan4.abundance.profile	ERR1190875.metaphlan4.abundance.profile	ERR1190874.metaphlan4.abundance.profile	ERR1190873.metaphlan4.abundance.profile	ERR1190872.metaphlan4.abundance.profile	ERR1190871.metaphlan4.abundance.profile	ERR1190870.metaphlan4.abundance.profile	ERR1190869.metaphlan4.abundance.profile	ERR1190868.metaphlan4.abundance.profile	ERR1190867.metaphlan4.abundance.profile	ERR1190866.metaphlan4.abundance.profile	ERR1190865.metaphlan4.abundance.profile	ERR1190864.metaphlan4.abundance.profile	ERR1190863.metaphlan4.abundance.profile	ERR1190862.metaphlan4.abundance.profile	ERR1190861.metaphlan4.abundance.profile	ERR1190860.metaphlan4.abundance.profile	ERR1190859.metaphlan4.abundance.profile	ERR1190858.metaphlan4.abundance.profile	ERR1190857.metaphlan4.abundance.profile	ERR1190856.metaphlan4.abundance.profile	ERR1190855.metaphlan4.abundance.profile	ERR1190854.metaphlan4.abundance.profile	ERR1190853.metaphlan4.abundance.profile	ERR1190852.metaphlan4.abundance.profile	ERR1190851.metaphlan4.abundance.profile	ERR1190850.metaphlan4.abundance.profile	ERR1190849.metaphlan4.abundance.profile	ERR1190848.metaphlan4.abundance.profile	ERR1190847.metaphlan4.abundance.profile	ERR1190846.metaphlan4.abundance.profile	ERR1190845.metaphlan4.abundance.profile	ERR1190844.metaphlan4.abundance.profile	ERR1190843.metaphlan4.abundance.profile	ERR1190842.metaphlan4.abundance.profile	ERR1190841.metaphlan4.abundance.profile	ERR1190840.metaphlan4.abundance.profile	ERR1190839.metaphlan4.abundance.profile	ERR1190838.metaphlan4.abundance.profile	ERR1190837.metaphlan4.abundance.profile	ERR1190836.metaphlan4.abundance.profile	ERR1190835.metaphlan4.abundance.profile	ERR1190834.metaphlan4.abundance.profile	ERR1190833.metaphlan4.abundance.profile	ERR1190832.metaphlan4.abundance.profile	ERR1190831.metaphlan4.abundance.profile	ERR1190830.metaphlan4.abundance.profile	ERR1190829.metaphlan4.abundance.profile	ERR1190828.metaphlan4.abundance.profile	ERR1190827.metaphlan4.abundance.profile	ERR1190826.metaphlan4.abundance.profile	ERR1190825.metaphlan4.abundance.profile	ERR1190824.metaphlan4.abundance.profile	ERR1190823.metaphlan4.abundance.profile	ERR1190822.metaphlan4.abundance.profile	ERR1190821.metaphlan4.abundance.profile	ERR1190820.metaphlan4.abundance.profile	ERR1190819.metaphlan4.abundance.profile	ERR1190818.metaphlan4.abundance.profile	ERR1190817.metaphlan4.abundance.profile	ERR1190816.metaphlan4.abundance.profile	ERR1190815.metaphlan4.abundance.profile	ERR1190814.metaphlan4.abundance.profile	ERR1190813.metaphlan4.abundance.profile	ERR1190812.metaphlan4.abundance.profile	ERR1190811.metaphlan4.abundance.profile	ERR1190810.metaphlan4.abundance.profile	ERR1190809.metaphlan4.abundance.profile	ERR1190808.metaphlan4.abundance.profile	ERR1190807.metaphlan4.abundance.profile	ERR1190806.metaphlan4.abundance.profile	ERR1190805.metaphlan4.abundance.profile	ERR1190804.metaphlan4.abundance.profile	ERR1190803.metaphlan4.abundance.profile	ERR1190802.metaphlan4.abundance.profile	ERR1190801.metaphlan4.abundance.profile	ERR1190800.metaphlan4.abundance.profile	ERR1190799.metaphlan4.abundance.profile	ERR1190798.metaphlan4.abundance.profile	ERR1190797.metaphlan4.abundance.profile	ERR1190796.metaphlan4.abundance.profile	ERR1190795.metaphlan4.abundance.profile	ERR1190794.metaphlan4.abundance.profile	ERR1190793.metaphlan4.abundance.profile	ERR1190792.metaphlan4.abundance.profile	ERR1190791.metaphlan4.abundance.profile	ERR1190790.metaphlan4.abundance.profile	ERR1190789.metaphlan4.abundance.profile
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1551	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1551|s__GGB1551_SGB2136	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1551|s__GGB1551_SGB2136|t__SGB2136	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0.1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25598	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0.00052	0.00265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0.1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25598	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0.00052	0.00265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0.1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25598	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0.00052	0.00265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1575	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0.00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1575|s__GGB1575_SGB2164	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1575|s__GGB1575_SGB2164|t__SGB2164	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1575|s__GGB1575_SGB2165	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1575|s__GGB1575_SGB2165|t__SGB2165	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1582	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1582|s__GGB1582_SGB2173	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1582|s__GGB1582_SGB2173|t__SGB2173	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01973	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB24147	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB24147|s__GGB24147_SGB35951	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB24147|s__GGB24147_SGB35951|t__SGB35951	2|976||||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658|g__GGB1627	2|976||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658|g__GGB1627|s__GGB1627_SGB2230	2|976|||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0
